in:Floor height m	in:window tilt degrees	in:sill height	in:Hzl glz percent	in:SF	in:Blind position	out:minimum Daylight	out:Average daylight	out:Maximum solar heat gain kWh/m²	out:Cooling load kWh/m²	out:Heating load kWh/m²	out:Lighting kWh/m²
39.512	3.1328125	0.399	0.642	32	1	30.915577	54.860836	32.343688	7.676647	3.020901	10.592367
117.012	10.1328125	0.774	0.842	27	0	38.129211	61.430396	29.928707	6.707277	3.161081	9.53245
78.262	13.6328125	0.211	0.942	38	0	50.495442	68.243273	55.959341	8.810216	4.074122	8.60315
155.762	6.6328125	0.586	0.742	32	1	49.464923	68.357775	37.493149	7.584832	2.751505	8.421231
8.027	3.7890625	0.598	0.698	38	0	61.831153	72.179284	37.861267	7.804912	2.62592	10.078221
85.527	10.7890625	0.223	0.898	27	1	40.19025	60.929449	36.613302	7.627127	4.439283	9.659318
46.777	14.2890625	0.785	0.998	38	1	42.251288	64.149822	45.298262	8.280517	3.655287	8.871079
124.277	7.2890625	0.41	0.798	32	0	49.464923	68.543841	43.225862	7.563192	3.058586	8.554027
27.402	9.0390625	0.317	0.948	27	0	32.976615	58.510591	37.697718	7.277168	4.760825	9.676416
104.902	2.0390625	0.692	0.748	32	1	44.312327	66.439864	37.03561	7.780752	2.840024	9.180243
66.152	5.5390625	0.129	0.648	32	1	29.885057	57.065002	35.588364	7.82656	3.319449	10.159873
143.652	12.5390625	0.504	0.848	38	0	58.739596	73.023737	50.159193	8.257667	2.79943	8.165415
17.715	11.6640625	0.082	0.773	32	0	29.885057	55.50491	41.217747	7.715036	3.831096	10.387701
95.215	4.6640625	0.457	0.973	27	1	49.464923	67.842516	39.08712	7.900073	4.413133	9.239155
56.465	1.1640625	0.27	0.873	38	1	57.709076	71.449333	57.02174	9.643384	4.026127	8.471219
133.965	8.1640625	0.645	0.673	27	0	35.037654	58.081208	25.994538	6.452796	2.738728	9.407237
37.09	6.4140625	0.738	0.823	27	0	28.854538	55.147091	27.494035	6.832029	3.420303	10.220442
114.59	13.4140625	0.363	0.623	38	1	39.15973	60.385564	38.666256	7.954815	2.411392	9.874211
75.84	9.9140625	0.551	0.723	32	1	31.946096	55.447659	32.118312	7.493427	3.004192	9.990651
153.34	2.9140625	0.176	0.923	38	0	70.075307	80.366187	68.206747	9.552181	3.310425	7.4586
12.871	11.2265625	0.668	0.611	38	0	23.701942	50.166248	30.022592	7.430171	2.292838	10.883438
90.371	4.2265625	0.293	0.811	27	1	39.15973	62.289162	34.010074	7.720924	3.855977	9.741442
51.621	7.7265625	0.481	0.911	32	1	43.281807	63.6775	42.642949	8.166395	4.069742	9.779948
129.121	14.7265625	0.106	0.711	27	0	31.946096	56.134672	32.718984	6.778822	3.490721	9.461691
32.246	2.4765625	0.199	0.961	32	0	46.373365	68.271899	53.610454	8.1649	4.920554	9.162164
109.746	9.4765625	0.574	0.761	38	1	47.403884	67.599198	44.557223	8.432077	2.618008	9.020168
70.996	12.9765625	0.387	0.661	27	1	18.549346	45.042278	24.593045	7.046565	3.197128	11.45438
148.496	5.9765625	0.762	0.861	32	0	54.617519	72.079095	40.068525	7.334016	2.845691	8.253674
22.559	5.1015625	0.34	0.736	38	0	38.129211	62.131721	44.278447	8.025336	3.161363	9.33553
100.059	12.1015625	0.715	0.936	32	1	44.312327	65.051526	41.947574	7.819582	3.417644	9.232682
61.309	8.6015625	0.153	0.836	38	1	46.373365	66.668869	52.895326	9.152587	3.951532	8.882989
138.809	1.6015625	0.528	0.636	27	0	39.15973	62.675607	27.36804	6.54013	2.78496	9.239135
41.934	13.8515625	0.434	0.886	32	0	32.976615	57.036376	40.20447	7.519192	4.035056	9.678517
119.434	6.8515625	0.059	0.686	38	1	52.55648	70.447439	50.96855	9.00021	2.739599	8.621548
80.684	3.3515625	0.621	0.786	27	1	38.129211	59.38367	28.721994	7.39844	3.293395	10.149907
158.184	10.3515625	0.246	0.986	32	0	62.861673	75.31378	56.185808	8.22202	4.143713	7.869699
6.816	5.6484375	0.639	0.977	32	1	57.709076	71.248954	43.201956	8.146133	3.855647	8.913833
84.316	12.6484375	0.264	0.777	27	0	27.824019	52.298851	30.612282	7.04554	3.765753	10.577479
45.566	9.1484375	0.451	0.677	38	0	32.976615	57.594574	37.552712	7.811715	2.831291	10.203215
123.066	2.1484375	0.076	0.877	27	1	52.55648	71.062888	45.356826	8.248472	4.325346	8.504855
26.191	14.3984375	0.17	0.627	27	1	14.427269	39.374422	25.159278	7.137742	3.170872	11.900195
103.691	7.3984375	0.545	0.827	32	0	48.434403	66.711807	42.097157	7.592788	3.190177	9.272327
64.941	3.8984375	0.358	0.927	32	0	49.464923	67.728013	47.553854	7.899315	4.424899	9.044328
142.441	10.8984375	0.733	0.727	38	1	51.525961	68.958911	39.01192	7.851061	2.366735	8.364443
16.504	10.0234375	0.404	0.852	38	1	53.587	68.32915	48.021818	8.675243	3.526942	9.254285
94.004	3.0234375	0.779	0.652	27	0	27.824019	55.361783	22.3879	6.748661	2.611304	11.070878
55.254	6.5234375	0.217	0.752	38	0	43.281807	63.792002	47.103896	8.193224	3.519944	9.088565
132.754	13.5234375	0.592	0.952	32	1	51.525961	69.016162	45.131686	7.913645	3.351409	8.393184
35.879	1.2734375	0.498	0.702	27	1	25.762981	52.885674	27.759802	7.456438	3.245598	11.085298
113.379	8.2734375	0.123	0.902	32	0	51.525961	70.08962	54.541023	8.195897	4.039338	8.622699
74.629	11.7734375	0.686	0.802	32	0	31.946096	56.764434	32.909355	7.200955	3.165006	9.769668
152.129	4.7734375	0.311	0.602	38	1	52.55648	69.688862	41.339848	8.306355	2.261005	8.489903
11.66	13.0859375	0.522	0.914	38	1	43.281807	64.292949	47.643595	8.581004	3.525552	9.145358
89.16	6.0859375	0.147	0.714	32	0	39.15973	61.75959	38.871187	7.628239	3.325427	9.667387
